name,klass,charges,source,description
Poison Arrow,Nature,13,Starter Spell,Target takes a moderate amount of damage and is afflicted with Poisoned. 100% of the damage is based on the caster's Speed instead of Intelligence.
Poison Gas,Death,10,Alexandria Shop,Enemies are afflicted with Poisoned.
Polish,Nature,10,Nature Guild,One of the target's Spell Gems regenerates 100% of its Charges.
Pop,Sorcery,10,Sorcery Guild,Random enemies take a moderate amount of damage. The number of times that enemies take damage is equal to the number of times this Spell Gem has been Cast in the current battle.
Potent Porter,Sorcery,7,Gambling Dwarves,Caster Casts 2 of its non-Ethereal Spell Gems. This spell is a Booze Spell.
Powered Blast,Sorcery,8,Standard Spell (Backer),"Target takes a small amount of damage, or a massive amount of damage if the target is the same class as the caster."
Praise the Sun,Life,8,Standard Spell (Backer),All creatures recover a large amount of Health.
Prismatic Channeling,Sorcery,4,Standard Spell (Backer),"Enemies take a large amount of damage, plus 20% more damage for each different class of creature fighting on your side."
Productive Belch,Chaos,19,Tartarith Shop,Target takes a small amount of damage and afflicts the target with Disarmed.
Profanity,Nature,25,Torun Shop,Target Provokes.
Promethean Blaze,Chaos,2,Standard Spell (Backer),Enemies take a moderate amount of damage and are afflicted with Burning. Caster gains Intelligence equal to 10% of the damage dealt.
Prosperity,Life,10,False Gods (Althea),Target gains 50% Current Health. This does not count as a healing effect.
Protect,Life,15,Standard Spell,"Target gains Protected and Warded. Then, it Defends."
Psionic Blast,Sorcery,15,Aeolian Shop,Target takes a moderate amount of damage and is afflicted with Weak.
Psychic Rapture,Sorcery,12,Standard Spell,"Enemies take a small amount of damage, plus 10% more damage for each Ethereal Spell Gem the caster has, up to 200% extra damage."
Pumpkin King's Wrath,Chaos,10,Standard Spell (Backer),Enemies take a moderate amount of damage 2 times.
Pure Love,Life,5,Standard Spell (Backer),Alll creatures gain a massive amount of Maximum Health.
Purgatory,Death,20,Vertraag Shop,Target is sent to the bottom of the Timeline.
Pusplosion,Death,5,Death Guild,"Enemies take a moderate amount of damage, plus 10% more damage for each debuff each enemy has."
Pustule,Death,7,False Gods (Loid),Target takes a small amount of damage and all other enemies take damage equal to 200% of the damage dealt.
Pyroburst,Chaos,12,Standard Spell (Backer),"Target takes a small amount of damage, or a massive amount of damage if they are afflicted with Bomb."
Rabid Dementia,Sorcery,20,Standard Spell,Target Attacks a random enemy for 200% normal damage.
Radiant Sunfire,Chaos,4,Standard Spell (Backer),Your creatures gain a random buff and enemies are afflicted with a random debuff for each enemy with Burning.
Rain of Arrows,Nature,1,Avatar of Apocranox,Enemies take a small amount of damage and the caster Casts 5 random Arrow spells. This spell is an Ultimate spell.
Rain of Blood,Death,10,Erebyss Shop,Enemies are afflicted with Bleeding.
Rapture,Death,1,Standard Spell,Enemies take a massive amount of damage and are afflicted with Weak and Vulnerable.
Ravage,Chaos,11,Tartarith Shop,Target takes a moderate amount of damage and loses a moderate amount of Defense.
Raze,Chaos,12,Vulcanar Shop,Enemies take damage equal to 2 turns of their Burning debuff.
Recharge,Sorcery,1,Standard Spell (Backer),Caster's Spell Gems gain 3 Charges.
Redirection,Chaos,15,Standard Spell,Target gains a moderate amount of Defense and it Provokes.
Redoubt,Nature,10,Anneltha Shop + Nature Guild,"One of the target's Spell Gems loses 100% of its Charges, and it gains Defense equal to 7% of the caster's Intelligence for each Charge removed."
Refresh,Nature,20,Meraxis Shop,Target's debuffs are removed.
Reincarnation,Life,5,Standard Spell,"Target is killed, then resurrected with a massive amount of Health."
Relight,Life,5,Standard Spell (Backer),"Caster is killed, and your other creatures gain Rebirth."
Rend,Chaos,12,Starter Spell,Target takes a moderate amount of damage and is afflicted with Bleeding.
Replicate,Sorcery,10,False Gods (Hydranox),Caster Casts 2 of its other spells.
Requiem,Life,3,Standard Spell,Your creatures are resurrected with a moderate amount of Health.
Resonance,Sorcery,13,Standard Spell,"Enemies take a small amount of damage, or a large amount of damage if they are afflicted with Silenced."
Resplendence,Life,10,Standard Spell (Backer),"Enemies take a small amount of damage, your creatures recover a small amount of Health, and your creatures gain a small amount of Maximum Health."
Restore Balance,Nature,5,Standard Spell (Backer),Enemies' Health percentages are averaged.
Resurrection,Life,15,Standard Spell,Target is resurrected with a moderate amount of Health.
Revelation,Death,10,False Gods (Ancestor),Caster's on-resurrect effects are activated.
Reverberate,Sorcery,13,Aurum Shop,Enemies that are afflicted with Confused Attack one of their allies.
Reverse Polarity,Sorcery,20,Standard Spell,Target's debuffs are converted to random buffs.
Righteous Storm,Life,15,Perdition Shop,Enemies take a small amount of damage and lose a small amount of Attack.
Riotous Rum,Death,10,Gambling Dwarves,Enemies take a moderate amount of damage and are afflicted with Feared. This spell is a Booze Spell.
Ritual of Summoning,Death,10,Standard Spell (Backer),"Caster is killed, and your creatures' minions gain 3 stacks."
River Against the Current,Sorcery,10,Standard Spell (Backer),Enemies' buffs are removed.
Rolling Meteor,Chaos,6,Standard Spell (Backer),"Random enemies continuously take damage equal to 20% of this creature's Current Health. After each enemy takes damage, the spell has a 25% chance to end."
Ruby Power,Sorcery,30,Sorcery Guild,Caster Casts the Spell Gem in the target's Artifact Spell Slot. This spell is even more impressive if you manage to read its description ten times out loud.
Ruin,Nature,5,False Gods (Jotun),"Target loses a devastating amount of its highest stat. Then, this Spell Gem is Sealed."
Rune of Cor,Chaos,20,Rune Knight,"Target takes a large amount of damage, loses a moderate amount of a random stat, and the caster's on-attack effects are activated. 100% of this spell's damage is based on the caster's highest stat."
Rune of Dun,Death,20,Rune Knight,"Target takes a large amount of damage, caster gains a random minion, and the caster's on-attack effects are activated. 100% of this spell's damage is based on the caster's highest stat."
Rune of Lua,Life,20,Rune Knight,"Target takes a large amount of damage, caster recovers equal to 50% of the damage dealt, and the caster's on-attack effects are activated. 100% of this spell's damage is based on the caster's highest stat."
Rune of Nax,Nature,20,Rune Knight,"Target takes a large amount of damage, caster gains a moderate amount of a random stat, and the caster's on-attack effects are activated. 100% of this spell's damage is based on the caster's highest stat."
Rune of Sah,Sorcery,20,Rune Knight,"Target takes a large amount of damage and its buffs and minions are removed, caster's debuffs are remved, and the caster's on-attack effects are activated. 100% of this spell's damage is based on the caster's highest stat"
Rupture,Chaos,14,Venedon Shop,"Target takes a small amount of damage. This damage is increased by the percentage of Attack, Intelligence, Defense and Speed the caster has over those of the target."
Ruse,Nature,12,False Gods (Jotun),"At the start of the target's next turn, it Casts its top-most Spell Gem twice."
Sabotage,Chaos,20,Genaros Shop,"Target attacks the caster 3 times for 5% normal damage. These attacks cannot be dodged, and always deal at least 1 damage."
Sacred Ground,Life,5,Yseros Shop,All creatures are afflicted with Scorned.
Sacrifice to the Light,Life,1,Shallan Shop,"When the caster dies, it resurrects with 100% Health. This spell cannot be cast manually, and only works in normal battles."
Saint's Touch,Life,10,False Gods (Althea),"Target gains a large amount of its highest stat if it's an ally, or loses a large amount of its highest stat if it's an enemy."
Sanctuary,Life,7,Life Guild,"Your creatures gain Shelled, Mending, and Repelling."
Sandstorm,Nature,8,Standard Spell,Enemies take a moderate amount of damage and are afflicted with Blind.
Sapphire Power,Sorcery,15,Sorcery Guild,Target's Artifact's Spell Slot has a 100% chance to activate for the rest of the battle.
Savage Roar,Chaos,3,Genaros Shop,Your creatures gain a massive amount of Attack.
Savage Spores,Nature,5,Regalis Shop,All the creatures on the battlefield become Berserk and lose 40% Defense.
Schism,Life,10,Standard Spell,Enemies take a moderate amount of damage. This spell casts a number of times equal to the number of times your creatures have resurrected in the current battle.
Scourge Chaos,Death,10,Standard Spell,"Target takes a small amount of damage, or massive damage if the target is a Chaos creature."
Scourge Death,Life,10,Standard Spell,"Target takes a small amount of damage, or massive damage if the target is a Death creature."
Scourge Life,Nature,10,Standard Spell,"Target takes a small amount of damage, or massive damage if the target is a Life creature."
Scourge Nature,Sorcery,10,Standard Spell,"Target takes a small amount of damage, or massive damage if the target is a Nature creature."
Scourge Sorcery,Chaos,10,Standard Spell,"Target takes a small amount of damage, or massive damage if the target is a Sorcery creature."
Secret Stuff,Nature,7,Gambling Dwarves,The enmey with the highest Attck Attacks one of its allies for 200% normal damage. This spell is a Booze Spell.
Seduction,Nature,1,Avatar of Regalis,"Each enemy gives 25% of their Attack, Intelligence, Defense, and Speed to your creatures in the enemies' corresponding positions. This spell is an Ultimate Spell."
Seismic Crash,Nature,12,Standard Spell,"Target takes a moderate amount of damage. If the target has Stone, it has a 25% chance to be killed."
Self Analysis,Sorcery,5,Standard Spell (Backer),Caster gains stats equal to 5% of its allies' stats (other than Health).
Sensual Cider,Life,8,Gambling Dwarves,Your creature recover a large amount of Health. This spell is a Booze Spell.
Serendipity,Life,10,Standard Spell,Your creatures gain Savage and Agile.
Shadow Crash,Death,8,Ariamaki Shop,Enemies take damage equal to 10% of the caster's Intelligence for each time they've cast a spell in the current battle.
Shadow Infusion,Death,10,Vertraag Shop,Target gains a large amount of Attack and Speed.
Shatter,Sorcery,10,Azural Shop,"Target takes a small amount of damage, or massive damage if the target is Frozen."
Shattering Ice,Sorcery,8,Standard Spell (Backer),Target takes a moderate amount of damage and is afflicted with Frozen. All other enemies are afflicted with Bleeding.
Shellbust,Nature,15,Standard Spell,Target loses a moderate amount of Defense and deals damage equal to 150% of the amount reduced.
Shield Bash,Chaos,12,Standard Spell,Target takes a small amount of damage and is afflicted with Confused. 100% of the damage dealt is based on the caster's Defense instead of Intelligence.
Shield Slam,Chaos,13,Standard Spell,Target takes a moderate amount of damage and has a 35% chance to be sent to the bottom of the Timeline. 100% of the damage is based on the caster's Defense instead of Intelligence.
Shock,Nature,8,Standard Spell,"Enemies take a moderate amount of damage, plus 20% more damage for each debuff they have."
Shootout,Chaos,1,Avatar of Venedon,Target takes a massive amount of damage. This spell has a 100% chance to deal critical damage and regenerates 1 Charge after an enemy is killed. This spell is an Ultimate spell.
Skewer,Chaos,15,Chaos Guild,Enemies take damage equal to 30% of the amount of damage they've taken from Bleeding in the current battle.
Slaughter,Death,3,Standard Spell (Backer),Caster kills its allies.
Smoke Bolt,Chaos,8,Standard Spell (Backer),"Target takes a moderate amount of damage and loses a small amount of Attack, Intelligence and Defense."
Smoke Bomb,Nature,15,Reclusa Shop,Enemies are afflicted with Blind.
Sneak Attack,Chaos,11,Standard Spell (Backer),Target takes a massive amount of damage the first time this spell is Cast in the current battle. Subsequent casts deal a small amount of damage.
Snowstorm,Nature,4,Standard Spell,Enemies take a large amount of damage and have a 50% chance to be afflicted with Frozen.
Soothing Breeze,Nature,6,Reclusa Shop,Target recovers a massive amount of Health.
Sorcery Orb,Sorcery,6,False Gods (Caliban),Your creatures Cast a random spell that belongs to their class.
Soul Fire,Chaos,9,Venedon Shop,"Enemies take a moderate amount of damage, plus 10% more damage for each buff they have."
Soul Harvest,Death,5,Alexandria Shop,Caster steals a small amount of Intelligence from all enemies.
Soul Rage,Death,10,Standard Spell (Backer),Your creatures gain Leeching and Splashing.
Soul Sacrifice,Death,15,Alexandria Shop,Your creatures' Health is set to 70%
Spectral Crash,Life,15,Standard Spell,"Target takes a moderate amount of damage, plus 100% more damage if the caster has Savage."
Spectral Rain,Sorcery,7,Standard Spell (Backer),Increases the potency of all creatures' buffs and debuffs by 50%. This spell does not affect Inverted.
Spectral Swords,Sorcery,15,Standard Spell,Target takes a moderate amount of damage. The damage is based on the caster's Speed instead of Intelligence.
Spell Blast,Sorcery,18,Standard Spell,Target takes a small amount of damage. The amount of damage is increased by 10% for each Charge the Spell Gem has.
Spell Breath,Sorcery,10,Standard Spell,Enemies take a moderate amount of damage. 50% of the damage is based on the caster's Attack instead of Intelligence.
Spell Flow,Sorcery,8,Zonte Shop,Target gains Arcane and Warded.
Spell Leak,Sorcery,5,Standard Spell,Enemies' Ethereal Spell Gems are sealed.
Spell Lock,Sorcery,10,Standard Spell,All creatures are afflicted with Silenced.
Spell Strike,Sorcery,15,Standard Spell,Target takes a moderate amount of damage. 50% of the damage is based on the caster's Attack instead of Intelligence.
Spell Ward,Sorcery,10,Standard Spell,Your creatures gain Warded.
Spicy Suds,Chaos,9,Gambling Dwarves,"Your creatures with Splashing Attack random enemeis. Otherwise, they gain Splashing This spell is a Booze Spell."
Spirit Bond,Nature,20,False Gods (Jotun),Target gains the caster's trait.
Spirit Breaker,Life,20,Lister Shop,"Target takes a small amount of damage, plus 50% more damage for each turn it has taken in the current battle."
Spirit Offering,Death,10,Mortem Shop,"Target loses a large amount of Intelligence, and your creatures gain 20% of that amount."
Split Punch,Chaos,8,Gonfurian Shop,Target takes a large amount of damage and is afflicted with Bleeding.
Splitting Arrow,Nature,14,Apocranox Shop,Enemies take a small amount of damage. 100% of the damage is based on the caster's Speed instead of Intelligence.
Spreading Plague,Death,15,Standard Spell,Target's debuffs are removed and given to enemies at random.
Stampede,Nature,7,Torun Shop,Each of your creatures Attack an enemy for 50% normal damage. Each creature targets an enemy in their corresponding position.
Star Blast,Life,20,Life Guild,"Target takes a small amount of damage, plus 10% damage for each Charge this Spell Gem is missing."
Star Pact,Life,3,Muse Shop,"Enemies take a massive amount of damage, plus 10% damage for each buff this creature has."
Starfire,Life,5,Muse Shop,Enemies take a moderate amount of damage and are afflicted with either Scorned or Silenced.
Stasis Sword,Life,8,Standard Spell,Target takes a large amount of damage and is afflicted with Stone.
Steel Storm,Sorcery,5,Standard Spell,Enemies take a massive amount of damage.
Stellar Flare,Life,15,Standard Spell,"Enemies take a small amount of damage, plus 10% more damage for each time the caster has Defended or Provoked in the current battle."
Stone Skin,Nature,5,Torun Shop,Target gains a massive amount of Current and Maximum Health.
Stone Ward,Nature,14,Standard Spell,"Target gains a small amount of Defense. Then, it Defends and Provokes."
Stonewall,Nature,10,False Gods (Ancestor),Your Defending creatures gain a massive amount of Defense.
Stubborn Will,Life,8,Standard Spell (Backer),Target recovers a small amount of Health for each debuff it has (up to 5).
Stun Beam,Sorcery,5,Standard Spell (Backer),Target is sent to the bottom of the Timeline.
Submerge,Nature,11,Standard Spell (Backer),"Enemies take a moderate amount of damage, plus 25% damage for each turn they've taken in the current battle."
Subterfuge,Sorcery,5,False Gods (Mindwurm),"Target Attacks itself. Then, it has a 30% chance to attack itself again. This effect can occur multiple times in a row."
Succulent Scotch,Nature,10,Gambling Dwarves,All the creatures on the battlefield Attack themselves. This spell is a Booze Spell.
Sudden Death,Death,7,Vertraag Shop,"Target is killed, and enemies take damage equal to 25% of its Current Health."
Suffocation,Sorcery,6,Standard Spell,Target is afflicted with Silenced and Stone.
Summon Animated Gem,Sorcery,8,Standard Spell,Caster gains Animated Gem.
Summon Animated Weapon,Sorcery,8,Standard Spell,Caster gains Animated Weapon.
Summon Conquest,Death,5,Standard Spell,Caster gains Conquest.
Summon Death,Death,5,Standard Spell,Caster gains Death.
Summon Dire Wolf,Sorcery,15,Standard Spell,Caster gains 1 stack of Dire Wolves.
Summon Doppelganger,Sorcery,3,Ariamaki Shop,Caster gains Doppelganger
Summon Famine,Death,5,Standard Spell,Caster gains Famine.
Summon Horde,Death,3,Standard Spell (Backer),Your creatures gain a random minion for each creature that belongs to the same race as the caster.
Summon Spiderlings,Nature,18,Standard Spell,Caster gains 2 stacks of Spiderlings.
Summon Unstable Horror,Death,10,Standard Spell,Caster gains 1 stack of Unstable Horror.
Summon War,Death,5,Standard Spell,Caster gains War.
Summon Writheling,Death,10,Standard Spell,Caster gains 1 stack of Writhelings.
Summon Zombie,Death,10,Standard Spell,Caster gains 1 stack of Zombies.
Sunder,Chaos,1,Avatar of Gonfurian,Enemies take a large amount of damage and their Defense and Speed are set to their minimum values. This spell is an Ultimate spell.
Supplicant Sacrifice,Death,3,Standard Spell (Backer),"Caster is killed, and your creatures gain 3 random minions."
Surrender to Madness,Sorcery,15,Aurum Shop,Target is afflicted with Confused and Cursed.
Terror,Death,9,Standard Spell,Target loses a large amount of Defense and is afflicted with Feared.
Time Stop,Sorcery,5,Standard Spell (Backer),"Proceed to the next creature's turn on the Timeline, ignoring all subsequent effects as a result of casting this spell."
Timely Demise,Death,10,Vertraag Shop,Enemies take a small amount of damage. The damage is increased based on the duration of the current battle.
Timewalk,Sorcery,15,T'mere M'rgo Shop,Target executes its start-of-turn effects and increases the number of turns it has taken by 1. This spell can only ever target 1 creature and can only be Cast once at a time.
Tornado,Nature,7,Nature Guild,"Target takes a large amount of damage, plus 35% damage for each dead creature."
Torun Attunement,Nature,3,Nature Guild,Caster gains 1 stack of Torun Junior.
Toxic Frogmania,Nature,12,Standard Spell (Backer),"Target takes a small amount of damage, or a massive amount of damage if it is afflicted with Poisoned."
Toxic Shield,Chaos,13,Venedon Shop,"Target gains 20% Defense for each debuff it has. Then, the target's debuffs are removed."
Transcendence,Life,25,Standard Spell,Target gains a random trait that belongs to a creature from its race.
True Light,Life,3,Muse Shop,"Your creatures gain a large amount of Defense, and enemies lose a large amount of Defense."
True Magic,Sorcery,3,Standard Spell (Backer),"Enemies take a moderate amount of damage, plus 5% more damage for each Charge each of its other Spell Gems are missing."
Truesight,Sorcery,20,Aeolian Shop,Enemies are no longer Invisible.
Tsunami,Nature,5,Standard Spell,Enemies take a moderate amount of damage and lose a large amount of Speed.
Ultimate Odor,Death,7,False Gods (Loid),Enemies take a small amount of damage. This damage repeats for each debuff the caster has.
Unanswered Prayers,Life,15,Shallan Shop,"This spell casts three additional times, but has no effect."
Unbound Combustion,Chaos,9,Standard Spell (Backer),Target takes a small amount of damage. 100% of the damage is based on the caster's Maximum Health instead of Intelligence.
Unholy Augmentation,Death,10,Standard Spell,Your creatures gain Repelling.
Unholy Confessions,Death,11,Erebyss Shop,Your creatures gain a moderate amount of Intelligence.
Unholy Frenzy,Death,13,Erebyss Shop,Your creatures gain Berserk.
Unholy Rage,Death,13,Death Guild,"Target's Defense and Speed are added to their Attack and Intelligence. Then, their Defense and Speed are set to their minimum values."
Universal Recall,Sorcery,5,Standard Spell (Backer),The number of turns all creatures have taken in the current battle is set to 0.
Unrighteous Fire,Death,3,Standard Spell (Backer),"Caster's Health is set to 1, and enemies take damage equal to 30% of the amount of Health removed."
Unstable Anomaly,Sorcery,1,Avatar of Zonte,Enemies take a small amount of damage multiplied by the number of times your creatures have Cast a spell in the current battle. This spell is an Ultimate Spell.
Unstable Equilibrium,Sorcery,7,Standard Spell (Backer),Your creatures' Current Health is set equal to that of the target.
Unstable Summoning,Death,15,Ariamaki Shop,Target gains a random minion.
Usery,Sorcery,12,Standard Spell (Backer),Caster gains a small amount of Attack for each turn it has taken in the current battle (up to 5 times).
Utopia,Life,1,Life Guild,All creatures recover Health equal to 100% of the amount they're missing.
Vacuum,Sorcery,15,Starter Spell,Caster gains the target's trait.
Vampirism,Death,14,Starter Spell,Your creatures gain Leeching.
Verdant Spheres,Sorcery,10,T'mere M'rgo Shop,The caster Casts 3 of the target's Spell Gems in your favor.
Vertigo,Sorcery,25,Aeolian Shop,Target is afflicted with Confused.
Vilify,Chaos,15,4080 Shop,Enemies are no longer Defending or Provoking.
Vitality Explosion,Death,25,Standard Spell,Target takes damage equal to the amount of Maximum Health it has greater than its base amount.
Vivacious Vodka,Death,23,Gambling Dwarves,One of your creatures is moved ot the top of the Timeline. This spell can only ever target 1 creature and can only be Cast once at a time. This spell is a Booze Spell.
Void Flare,Sorcery,20,Standard Spell,"If the target has been resurrected in the current battle, it is killed."
Volatile Strike,Chaos,7,Standard Spell (Backer),Target takes a moderate amount of damage. This damage is mitigated by the target's lowest stat. 100% of the damage dealt is based on the caster's highest stat instead of intelligence.
Volcano,Chaos,4,Standard Spell,Enemies take a large amount of damage and are afflicted with Burning.
Warning,Chaos,10,False Gods (Ancestor),Your Provoking creatures gain a massive amount of Defense.
Warp Reality,Chaos,20,Standard Spell,"Target's Barrier shatters, dealing damage to the target equal to 200% of the Barrier's strength."
Water Enchantment,Nature,8,Standard Spell,"Target gains Splashing, and a large amount of Attack."
Web,Nature,25,Regalis Shop,Target is afflicted with Snared.
Whiplash,Chaos,16,Tartarith Shop,Target takes a small amount of damage and is afflicted with Bleeding. 100% of the damage dealt is based on the caster's Speed instead of Intelligence.
Whirlwind,Nature,6,Standard Spell,Enemies take a moderate amount of damage that ignores 30% of their Defense.
Wild Growth,Nature,8,Standard Spell,"Target gains Mending, and a large amount of Maximum Health."
Wind Enchantment,Nature,8,Meraxis Shop,"Target gains Agile, and a large amount of Speed."
Wind Shear,Nature,13,Meraxis Shop,"Enemies take a small amount of damage, plus 35% more damage for each Nature creature fighting on your side."
Windcutter,Nature,14,Standard Spell,Enemies take a moderate amount of damage. This damage ignores the Shelled and Barrier buffs.
Word of Chaos,Chaos,10,Gonfurian Shop,Target has a 5% chance to be killed for each debuff it has.
Words of Encouragement,Life,8,Standard Spell (Backer),Target recovers a small amount of Health 3 times.
Wormhole,Sorcery,20,T'mere M'rgo Shop,Caster swaps positions with the target on the Timeline.
Wormrot,Death,10,Standard Spell,Enemies are afflicted with Weak and Vulnerable.
Wrath of Nature,Nature,10,Standard Spell,Your creatures gain a moderate amount of Attack.
Zephyr,Life,10,Yseros Shop,"Your creatures recover a moderate amount of Health, plus 25% more healing for each Life creature fighting on your side."
Zombie Clap,Death,8,Death Guild,Target takes a large amount of damage and the caster gains 3 stacks of Zombies.
Balance In All Things,Death,1,Avatar of Reclusa,"Your creatures are healed or resurrected with a devastating amount of Health, and enemies take a devastating amount of damage. This spell is an Ultimate Spell."
Blitz Howl,Chaos,5,Standard Spell (Backer),"Enemies take a moderate amount of damage and have a 10% chance to be afflicted with Silenced, Burning, and Feared. This spell cannot be cast manually, but has a 30% chance to cast at the start of the caster's turn."
Fae Fire,Life,1,Avatar of Shallan,"Enemies lose a devastating amount of all stats, and their buffs and minions are removed. This spell is an Ultimate Spell."
Grandeur,Nature,1,Avatar of Ariamaki,Your creatures gain a massive amount of stats and their Ultimate Spell Gems recover 100% Charges. This spell is an Ultimate Spell.
Heat Beam,Chaos,1,Avatar of 4080,"Target is killed. If it cannot be killed, it takes a devastating amount of damage 3 times. This spell is an Ultimate Spell."
Infinite Blades,Death,1,Avatar of Alexandria,Enemies take a moderate amount of damage 5 times. This spell is an Ultimate Spell.
Quietus,Sorcery,1,Avatar of T'mere M'rgo,"The first time this Spell Gem is Cast, your creatures gain a squad of minions. The second time this Spell Gem is Cast, enemies take a massive amount of damage plus 15% more damage for each minion each of your creatures have, and then their minions are removed. Then, this spell is reset. This spell is an Ultimate Spell."
Saving Grace,Life,15,Standard Spell (Backer),"Caster's debuffs are removed and it gains Shelled. This spell cannot be cast manually, but has a 100% chance to cast when this creature takes damage that exceeds 25% of its Maximum Health."
Tectonic Upheaval,Nature,1,Avatar of Anneltha,"Enemies take a massive amount of damage, lose a massive amount of Defense and Speed, and are afflicted with Snared. This spell is an Ultimate Spell."
Total Carnage,Chaos,1,Avatar of Genaros,Enemies are afflicted with Bleeding and this creature Attacks each enemy. This spell is an Ultimate Spell.
Work of Art,Life,1,Avatar of Muse,Your creatures gain an army of minions. This spell does not activate on-minion effects. This spell is an Ultimate Spell.
Virus,Death,12,Standard Spell,Enemies take damage equal to 2 turns of their Poisoned debuff.
Whitchcraft,Sorcery,7,Standard Spell,"Enemies with Cursed Cast one of their single-target damage spells on a random creature."
Evil Eye,Death,12,Standard Spell,"Target takes a small amount of damage, or a massive amount of damage if they are afflicated with Cursed."
Gunpowder,Chaos,7,Standard Spell,"Potency of enemies' Bomb debuffs is increased by 30% of the caster's Speed."
Curse Of Doom,Death,5,Standard Spell,"Enemies with Cursed gain a large amount of Attack and Intelligence and lose a large amount of Defense and Speed."
Short Fuse,Chaos,7,Standard Spell,"Enemies take damage equal to 100% of the potency of their Bomb debuffs."
Herd Immunity,Nature,15,Standard Spell,"Your creatures recover Health equal to 100% of the target's Poisoned potency."
Dissonance,Chaos,12,Standard Spell,"Potencies of enemies' Bomb, Poisoned, and Burning debuffs are averaged."
Vaccination,Sorcery,18,Standard Spell,"Your creatures gain their lowest stat equal to 100% of the target's Poisoned potency."
Discombobulate,Sorcery,12,Standard Spell,"Enemies with Confused either Attack or Cast one of their spells, depending on whether their Attack or Intelligence is higher."
